"id","parte","tema","modulo","titulo","descripcion","pdf_origen","pagina_origen","tipo_visual","archivo_original","archivo_recortado","archivo_web","versiones_adicionales","texto_alternativo","epigrafe","consigna_observacion","estado","notas_revision","fecha_actualizacion"
"t01-m01-img01","1","1","1","Mapa de transformación","Composición que relaciona planta aromática, representación molecular, destilación y almacenamiento.","01_introduccion.pdf","9","composición conceptual","tema-01-introduccion/01_originales/pagina-09.jpg","tema-01-introduccion/02_recortes/t01-m01-img01-mapa-transformacion-recorte.jpg","tema-01-introduccion/03_web/t01-m01-img01-mapa-transformacion-web.webp","","Composición con una planta aromática, una representación molecular, frascos y un equipo de destilación.","Una mirada anticipada al recorrido: planta, composición, transformación y almacenamiento.","Construí una secuencia usando planta, composición, extracción y almacenamiento.","Publicada","Recorte de la composición; se eliminó un control de navegación de la diapositiva.","2026-08-17"
"t01-m02-img01","1","1","2","Frasco con aceite","Pequeño frasco transparente con líquido de color ámbar.","01_introduccion.pdf","1","fotografía de producto","tema-01-introduccion/01_originales/pagina-01.jpg","tema-01-introduccion/02_recortes/t01-m02-img01-frasco-aceite-recorte.jpg","tema-01-introduccion/03_web/t01-m02-img01-frasco-aceite-web.webp","","Pequeño frasco transparente con un líquido de color ámbar.","El recipiente deja ver el líquido, pero sus propiedades necesitan ser explicadas.","Separá lo que la imagen permite observar de las propiedades que explica el texto.","Publicada","Fotografía recortada desde la portada.","2026-08-17"
"t03-m01-img01","1","3","1","Anatomía de una semilla","Esquema rotulado de una semilla de alubia y su embrión.","03_semillas.pdf","7","diagrama","tema-03-semillas/01_originales/pagina-7.jpg","tema-03-semillas/02_recortes/t03-m01-img01-anatomia-semilla-recorte.jpg","tema-03-semillas/03_web/t03-m01-img01-anatomia-semilla-web.webp","tema-03-semillas/03_web/t03-m01-img01-anatomia-semilla-web-legacy.jpg","Esquema de una semilla de alubia con embrión, plúmula, epicotilo, hipocotilo, radícula, hilo, epispermo y cotiledón señalados.","Esquema de la semilla y el embrión de una alubia.","Localizá el embrión, el epispermo y el cotiledón.","Publicada","Tratamiento aprobado en el curso demo.","2026-08-17"
"t03-m01-img02","1","3","1","Diversidad de semillas","Mosaico de semillas con diferentes formas, tamaños y colores.","03_semillas.pdf","8","composición fotográfica","tema-03-semillas/01_originales/pagina-8.jpg","tema-03-semillas/02_recortes/t03-m01-img02-diversidad-semillas-recorte.jpg","tema-03-semillas/03_web/t03-m01-img02-diversidad-semillas-web.webp","tema-03-semillas/03_web/t03-m01-img02-diversidad-semillas-web-legacy.jpg","Mosaico de semillas de formas, tamaños y colores variados.","Semillas de diferentes formas, tamaños y colores.","Compará la diversidad exterior y explicá qué organización comparten.","Publicada","Tratamiento aprobado en el curso demo.","2026-08-17"
"t03-m02-img01","1","3","2","Ejemplos de gimnospermas","Composición con cuatro ejemplos visuales de gimnospermas.","03_semillas.pdf","12","composición fotográfica","tema-03-semillas/01_originales/pagina-12.jpg","tema-03-semillas/02_recortes/t03-m02-img01-gimnospermas-recorte.jpg","tema-03-semillas/03_web/t03-m02-img01-gimnospermas-web.webp","tema-03-semillas/03_web/t03-m02-img01-gimnospermas-web-legacy.jpg","Composición con una planta de hojas rígidas, dos árboles y una rama con hojas en forma de abanico.","Ejemplos visuales de gimnospermas.","Reconocé árboles, arbustos y formas de hoja dentro del conjunto.","Publicada","Tratamiento aprobado en el curso demo.","2026-08-17"
"t03-m02-img02","1","3","2","Ciclo de una conífera","Ciclo reproductivo con conos, polen, fecundación, semilla y germinación.","03_semillas.pdf","16","diagrama de proceso","tema-03-semillas/01_originales/pagina-16.jpg","tema-03-semillas/02_recortes/t03-m02-img02-ciclo-conifera-recorte.jpg","tema-03-semillas/03_web/t03-m02-img02-ciclo-conifera-web.webp","tema-03-semillas/03_web/t03-m02-img02-ciclo-conifera-web-legacy.jpg","Diagrama del ciclo de una conífera con conos masculinos y femeninos, polen, fecundación, semilla, germinación y nueva planta.","Ciclo reproductivo de una conífera.","Seguí las flechas desde los conos hasta la nueva planta.","Publicada","Tratamiento aprobado en el curso demo.","2026-08-17"
"t03-m03-img01","1","3","3","Monocotiledóneas y dicotiledóneas","Comparación mediante raíces, hojas, flores y semillas.","03_semillas.pdf","26","diagrama comparativo","tema-03-semillas/01_originales/pagina-26.jpg","tema-03-semillas/02_recortes/t03-m03-img01-monocotiledoneas-dicotiledoneas-recorte.jpg","tema-03-semillas/03_web/t03-m03-img01-monocotiledoneas-dicotiledoneas-web.webp","tema-03-semillas/03_web/t03-m03-img01-monocotiledoneas-dicotiledoneas-web-legacy.jpg","Comparación de monocotiledóneas y dicotiledóneas mediante raíces, nervaduras, piezas florales y estructura de la semilla.","Comparación visual de monocotiledóneas y dicotiledóneas.","Leé cada columna como una descripción completa del grupo.","Publicada","Tratamiento aprobado en el curso demo.","2026-08-17"
"t03-m04-img01","1","3","4","Germinación epígea e hipógea","Dos secuencias de germinación con sus estructuras principales.","03_semillas.pdf","29","secuencia vertical","tema-03-semillas/01_originales/pagina-29.jpg","tema-03-semillas/02_recortes/t03-m04-img01-germinacion-recorte.jpg","tema-03-semillas/03_web/t03-m04-img01-germinacion-web.webp","tema-03-semillas/03_web/t03-m04-img01-germinacion-web-legacy.jpg","Dos secuencias dibujadas de germinación con radícula, raíz primaria, epicotilo, hipocotilo, cotiledón, testa y primordio foliar.","Secuencias comparadas de germinación epígea e hipógea.","Seguí la posición del cotiledón a lo largo de ambas secuencias.","Publicada","Tratamiento aprobado en el curso demo.","2026-08-17"
"p01-m01-img01","1","Parte 1","1","Frasco ámbar","Frasco con una pequeña cantidad de líquido aromático.","01_introduccion.pdf","1","fotografía de producto","tema-01-introduccion/01_originales/pagina-01.jpg","tema-01-introduccion/02_recortes/t01-m02-img01-frasco-aceite-recorte.jpg","parte-01-la-gota/modulo-01/03_web/p01-m01-img01-frasco-ambar-web.webp","","Frasco ámbar con una pequeña cantidad de aceite esencial.","Una cantidad mínima concentra una mezcla aromática compleja.","Comparar su aspecto con el de un aceite vegetal sin inferir propiedades que la imagen no muestra.","Publicada","Recorte recuperado del demo e incorporado a la nueva arquitectura.","2026-08-18"
"p01-m02-img01","1","Parte 1","2","Glándulas de citronela","Vista microscópica de estructuras con aceite en tejido vegetal.","10_origen_aceites.pdf","7","micrografía","parte-01-la-gota/modulo-02/01_originales/p01-m02-img01-glandulas-citronela-original.jpg","parte-01-la-gota/modulo-02/02_recortes/p01-m02-img01-glandulas-citronela-recorte.jpg","parte-01-la-gota/modulo-02/03_web/p01-m02-img01-glandulas-citronela-web.webp","","Vista microscópica de glándulas de aceite en tejido de citronela.","Las estructuras secretoras no se distribuyen de manera uniforme.","Localizar los espacios ovalados y compararlos con el tejido circundante.","Publicada","Se eliminó el título y el fondo de la diapositiva; se conservó la micrografía.","2026-08-18"
